-1+0i	-1+0i	-1+0i	-1+0i	-1+0i	-1+0i	1+0i	-1+0i	-1+0i	-1+0i	-1+0i	-1+0i	-1+0i	-1+0i	-1+0i	-1+0i
-0.70709228515625-0.70709228515625i	0+1i	-0.70709228515625+0.70709228515625i	-1+0i	0.70709228515625+0.70709228515625i	0+1i	0.70709228515625-0.70709228515625i	-1+0i	1+0i	-0.70709228515625-0.70709228515625i	-0-1i	0.70709228515625-0.70709228515625i	1+0i	0.70709228515625+0.70709228515625i	0+1i	-0.70709228515625+0.70709228515625i
0.92388916015625+0.3826904296875i	-0.70709228515625-0.70709228515625i	-0.3826904296875-0.92388916015625i	-0-1i	0.3826904296875-0.92388916015625i	0.70709228515625-0.70709228515625i	0.92388916015625-0.3826904296875i	1+0i	-1+0i	0.92388916015625+0.3826904296875i	0.70709228515625+0.70709228515625i	0.3826904296875+0.92388916015625i	0+1i	-0.3826904296875+0.92388916015625i	-0.70709228515625+0.70709228515625i	0.92388916015625-0.3826904296875i
0.3826904296875+0.92388916015625i	-0.70709228515625+0.70709228515625i	-0.92388916015625-0.3826904296875i	0+1i	0.92388916015625-0.3826904296875i	0.70709228515625+0.70709228515625i	0.3826904296875-0.92388916015625i	1+0i	-1+0i	0.3826904296875+0.92388916015625i	-0.70709228515625+0.70709228515625i	-0.92388916015625-0.3826904296875i	-0-1i	0.92388916015625-0.3826904296875i	0.70709228515625+0.70709228515625i	0.3826904296875-0.92388916015625i
-0.70709228515625+0.70709228515625i	0.707106781186547-0.707106781186547i	-0.707106781186547-0.707106781186547i	0.707106781186547+0.707106781186547i	0.707106781186547+0.707106781186547i	0.707106781186547-0.707106781186547i	0.707106781186547+0.707106781186547i	0.707106781186547+0.707106781186547i	-0.707106781186547+0.707106781186547i	-0.707106781186547+0.707106781186547i	-0.707106781186547+0.707106781186547i	-0.707106781186547+0.707106781186547i	0.707106781186547-0.707106781186547i	-0.707106781186547+0.707106781186547i	-0.707106781186547+0.707106781186547i	-0.70709228515625+0.70709228515625i
0-0.999958999454975i	-0.707106781186547+0.707106781186547i	0.999979499517353+0i	-0.707106781186547+0.707106781186547i	0-0.999979499517353i	-0.707106781186547+0.707106781186547i	0+0.999979499517353i	-0.707106781186547+0.707106781186547i	0.707106781186547+0.707106781186547i	0+0.999979499517353i	0.707106781186547+0.707106781186547i	-0.999979499517353+0i	-0.707106781186547+0.707106781186547i	-0.999979499517353+0i	-0.707106781186547-0.707106781186547i	-0.999958999454975+0i
0.38267744705081+0.923872347921133i	0.999979499517353+0i	0.923891288138453+0.382685292284004i	-0.707106781186547+0.707106781186547i	0.382685292284004+0.923891288138453i	-0.999979499517353+0i	0.382685292284004-0.923891288138453i	0.707106781186547+0.707106781186547i	0.707106781186547-0.707106781186547i	-0.382685292284004-0.923891288138453i	0-0.999979499517353i	0.382685292284004-0.923891288138453i	-0.707106781186547+0.707106781186547i	-0.382685292284004-0.923891288138453i	0+0.999979499517353i	0.923872347921133+0.38267744705081i
0.923872347921133+0.38267744705081i	-0.999979499517353+0i	0.382685292284004+0.923891288138453i	0.707106781186547-0.707106781186547i	0.923891288138453+0.382685292284004i	0.999979499517353+0i	0.923891288138453-0.382685292284004i	0.707106781186547-0.707106781186547i	-0.707106781186547-0.707106781186547i	-0.923891288138453-0.382685292284004i	0.999979499517353+0i	-0.382685292284004-0.923891288138453i	0.707106781186547-0.707106781186547i	0.923891288138453+0.382685292284004i	0+0.999979499517353i	-0.38267744705081-0.923872347921133i
-0.70709228515625+0.70709228515625i	0.707106781186547+0.707106781186547i	-0.707106781186547+0.707106781186547i	0.707106781186547-0.707106781186547i	0.707106781186547+0.707106781186547i	0.707106781186547+0.707106781186547i	0.707106781186547+0.707106781186547i	0.707106781186547+0.707106781186547i	-0.707106781186547+0.707106781186547i	-0.707106781186547-0.707106781186547i	-0.707106781186547-0.707106781186547i	0.707106781186547+0.707106781186547i	-0.707106781186547+0.707106781186547i	0.707106781186547+0.707106781186547i	-0.707106781186547+0.707106781186547i	-0.70709228515625+0.70709228515625i
0-0.999958999454975i	-0.707106781186547-0.707106781186547i	0.999979499517353+0i	0.707106781186547-0.707106781186547i	0.999979499517353+0i	0.707106781186547-0.707106781186547i	0+0.999979499517353i	0.707106781186547-0.707106781186547i	0.707106781186547-0.707106781186547i	0-0.999979499517353i	0.707106781186547-0.707106781186547i	0-0.999979499517353i	-0.707106781186547+0.707106781186547i	0.999979499517353+0i	-0.707106781186547-0.707106781186547i	-0.999958999454975+0i
0.38267744705081+0.923872347921133i	0+0.999979499517353i	-0.923891288138453-0.382685292284004i	0.707106781186547+0.707106781186547i	-0.923891288138453+0.382685292284004i	0+0.999979499517353i	-0.382685292284004+0.923891288138453i	0.707106781186547-0.707106781186547i	0.707106781186547-0.707106781186547i	-0.923891288138453+0.382685292284004i	0.999979499517353+0i	-0.923891288138453-0.382685292284004i	0.707106781186547-0.707106781186547i	-0.382685292284004-0.923891288138453i	0-0.999979499517353i	0.923872347921133+0.38267744705081i
0.923872347921133+0.38267744705081i	-0.999979499517353+0i	0.923891288138453-0.382685292284004i	-0.707106781186547-0.707106781186547i	0.923891288138453+0.382685292284004i	-0.999979499517353+0i	0.923891288138453-0.382685292284004i	-0.707106781186547+0.707106781186547i	0.707106781186547-0.707106781186547i	0.923891288138453+0.382685292284004i	0+0.999979499517353i	-0.923891288138453+0.382685292284004i	0.707106781186547-0.707106781186547i	0.382685292284004-0.923891288138453i	0+0.999979499517353i	-0.38267744705081-0.923872347921133i
-0.70709228515625+0.70709228515625i	0.707106781186547-0.707106781186547i	0.707106781186547+0.707106781186547i	-0.707106781186547+0.707106781186547i	-0.707106781186547+0.707106781186547i	-0.707106781186547+0.707106781186547i	-0.707106781186547+0.707106781186547i	0.707106781186547+0.707106781186547i	0.707106781186547+0.707106781186547i	-0.707106781186547-0.707106781186547i	-0.707106781186547+0.707106781186547i	-0.707106781186547-0.707106781186547i	-0.707106781186547-0.707106781186547i	0.707106781186547+0.707106781186547i	-0.707106781186547+0.707106781186547i	-0.70709228515625+0.70709228515625i
0-0.999958999454975i	-0.707106781186547+0.707106781186547i	0+0.999979499517353i	0.707106781186547-0.707106781186547i	0+0.999979499517353i	-0.707106781186547-0.707106781186547i	0+0.999979499517353i	0.707106781186547+0.707106781186547i	0.707106781186547+0.707106781186547i	0+0.999979499517353i	0.707106781186547-0.707106781186547i	0-0.999979499517353i	0.707106781186547-0.707106781186547i	0-0.999979499517353i	-0.707106781186547-0.707106781186547i	-0.999958999454975+0i
0.38267744705081+0.923872347921133i	0-0.999979499517353i	-0.923891288138453-0.382685292284004i	0.707106781186547-0.707106781186547i	0.382685292284004+0.923891288138453i	0+0.999979499517353i	-0.923891288138453-0.382685292284004i	0.707106781186547-0.707106781186547i	-0.707106781186547+0.707106781186547i	-0.923891288138453+0.382685292284004i	-0.999979499517353+0i	0.923891288138453+0.382685292284004i	-0.707106781186547-0.707106781186547i	-0.382685292284004-0.923891288138453i	0+0.999979499517353i	0.923872347921133+0.38267744705081i
0.923872347921133+0.38267744705081i	0+0.999979499517353i	-0.382685292284004-0.923891288138453i	0.707106781186547+0.707106781186547i	-0.382685292284004+0.923891288138453i	0+0.999979499517353i	0.382685292284004+0.923891288138453i	-0.707106781186547+0.707106781186547i	0.707106781186547+0.707106781186547i	-0.382685292284004+0.923891288138453i	0-0.999979499517353i	0.382685292284004+0.923891288138453i	-0.707106781186547-0.707106781186547i	0.382685292284004-0.923891288138453i	0+0.999979499517353i	-0.38267744705081-0.923872347921133i
0.70709228515625-0.70709228515625i	-0.707106781186547+0.707106781186547i	-0.707106781186547+0.707106781186547i	-0.707106781186547+0.707106781186547i	0.707106781186547-0.707106781186547i	0.707106781186547-0.707106781186547i	0.707106781186547-0.707106781186547i	0.707106781186547+0.707106781186547i	-0.707106781186547-0.707106781186547i	0.707106781186547-0.707106781186547i	-0.707106781186547+0.707106781186547i	-0.707106781186547-0.707106781186547i	0.707106781186547+0.707106781186547i	-0.707106781186547+0.707106781186547i	0.707106781186547+0.707106781186547i	0.70709228515625-0.70709228515625i
0+0.999958999454975i	0.707106781186547+0.707106781186547i	0-0.999979499517353i	0.707106781186547-0.707106781186547i	0+0.999979499517353i	-0.707106781186547-0.707106781186547i	-0.999979499517353+0i	-0.707106781186547+0.707106781186547i	0.707106781186547-0.707106781186547i	-0.999979499517353+0i	-0.707106781186547-0.707106781186547i	0+0.999979499517353i	-0.707106781186547-0.707106781186547i	0-0.999979499517353i	-0.707106781186547-0.707106781186547i	0.999958999454975+0i
